date,session_id,provider,model,input_tokens,output_tokens,cache_read,total_tokens
2026-03-16 09:12:04,mock-a1b2c3d4,claude,claude-sonnet-4-6,4210,8540,920000,12750
2026-03-16 11:34:22,mock-a1b2c3d4,ollama,llama3.2,12800,6200,0,19000
2026-03-16 14:58:11,mock-e5f6g7h8,ollama,llama3.2,9400,4800,0,14200
2026-03-17 08:45:30,mock-b2c3d4e5,claude,claude-sonnet-4-6,5120,11340,1450000,16460
2026-03-17 10:22:15,mock-b2c3d4e5,ollama,llama3.2,18200,7600,0,25800
2026-03-17 15:10:44,mock-c3d4e5f6,claude,claude-sonnet-4-6,3890,9210,1120000,13100
2026-03-17 17:33:09,mock-c3d4e5f6,ollama,llama3.2,11500,5300,0,16800
2026-03-18 09:05:18,mock-d4e5f6g7,claude,claude-sonnet-4-6,6340,14820,2100000,21160
2026-03-18 11:48:52,mock-d4e5f6g7,ollama,llama3.2,22400,9800,0,32200
2026-03-18 16:20:33,mock-e5f6g7h8,ollama,llama3.2,14600,6900,0,21500
2026-03-19 08:30:44,mock-f6g7h8i9,claude,claude-sonnet-4-6,7820,18450,3200000,26270
2026-03-19 10:55:17,mock-f6g7h8i9,ollama,llama3.2,16800,7400,0,24200
2026-03-19 14:12:39,mock-g7h8i9j0,claude,claude-sonnet-4-6,4560,10230,1780000,14790
2026-03-19 16:44:28,mock-g7h8i9j0,ollama,llama3.2,9200,4100,0,13300
2026-03-20 09:18:55,mock-h8i9j0k1,claude,claude-sonnet-4-6,5980,13670,2450000,19650
2026-03-20 11:30:42,mock-h8i9j0k1,ollama,llama3.2,20100,8900,0,29000
2026-03-20 15:05:19,mock-i9j0k1l2,ollama,llama3.2,13400,5800,0,19200
2026-03-21 08:52:11,mock-j0k1l2m3,claude,claude-sonnet-4-6,8240,21300,4100000,29540
2026-03-21 10:14:38,mock-j0k1l2m3,ollama,llama3.2,25600,11200,0,36800
2026-03-21 13:47:24,mock-k1l2m3n4,claude,claude-sonnet-4-6,6120,15480,2890000,21600
2026-03-21 16:29:51,mock-k1l2m3n4,ollama,llama3.2,17800,8200,0,26000
2026-03-22 23:22:42,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,124,3688,310404,3812
2026-03-22 23:22:58,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,105,18034,2887817,18139
2026-03-22 23:29:57,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,138,31124,4886232,31262
2026-03-22 23:34:24,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,156,47975,6166751,48131
2026-03-22 23:37:48,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,182,53062,6649499,53244
2026-03-22 23:38:53,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,193,54008,6894484,54201
2026-03-22 23:49:50,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,227,57490,8082613,57717
2026-03-23 10:17:10,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,235,58444,8152149,58679
2026-03-23 10:19:59,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,255,60409,8536208,60664
2026-03-23 10:35:49,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,297,77757,10703878,78054
2026-03-23 10:46:28,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,325,81825,12459909,82150
2026-03-23 11:00:38,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,352,88907,14149476,89259
2026-03-23 11:15:04,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,397,107844,15931236,108241
2026-03-23 12:14:01,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,6914,167028,34971120,173942
2026-03-23 12:15:39,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,6931,168580,36652303,175511
2026-03-23 12:16:43,3512aca5-4fe9-4a0e-8d35-9c41ccaa6fd8,claude,claude-sonnet-4-6,6937,169118,36913587,176055
