pr_id,pr_title,status,total_tokens,cost_usd,retries,error_types,merged_at
65,feat: add user authentication flow,merged,142500,1.8420,0,,2026-03-16 14:22:00
66,fix: SecureStore chunking for large payloads,merged,98200,1.2140,1,TypeScript,2026-03-17 09:45:00
67,feat: implement offline sync queue,merged,185000,2.4350,0,,2026-03-17 16:30:00
68,chore: update dependencies and fix lint,failed,52000,0.4890,3,ESLint|TypeScript,
69,feat: add budget category screen,merged,167000,2.1900,1,ESLint,2026-03-18 11:20:00
70,fix: navigation stack memory leak,merged,88500,0.9870,0,,2026-03-18 17:55:00
71,feat: Sonar quality gate improvements,merged,210000,3.0120,2,Sonar|Tests,2026-03-19 10:10:00
72,refactor: move to repository pattern,merged,195000,2.7800,0,,2026-03-20 13:40:00
73,test: add E2E flows for payment screen,merged,134000,1.5660,1,Tests,2026-03-21 09:25:00
74,feat: analytics dashboard GitHub Pages,merged,320000,4.8900,0,,2026-03-22 15:00:00
